Serial Number:20293298 --

Date Time - GMT +05:00,"Temp, (*F)","RH, (%)","DewPt, (*F)",Host Connect,Button Down,EOF,
2018-05-05 10:08:23,49.99,94.56,48.51, , , ,
2018-05-05 10:23:23,49.45,97.75,48.86, , , ,
2018-05-05 10:38:23,49.37,97.70,48.77, , , ,
2018-05-05 10:53:23,48.75,98.39,48.34, , , ,
2018-05-05 11:08:23,48.67,99.16,48.47, , , ,
2018-05-05 11:23:23,49.29,99.32,49.13, , , ,
2018-05-05 11:38:23,49.52,99.35,49.37, , , ,
2018-05-05 11:53:23,49.99,98.58,49.62, , , ,
2018-05-05 12:08:23,49.76,98.95,49.49, , , ,
2018-05-05 12:23:23,49.60,99.32,49.44, , , ,
2018-05-05 12:38:23,49.91,97.38,49.22, , , ,
2018-05-05 12:53:23,50.06,97.83,49.50, , , ,
2018-05-05 13:08:23,50.37,98.63,50.02, , , ,
2018-05-05 13:23:23,50.68,98.68,50.35, , , ,
2018-05-05 13:38:23,50.68,96.74,49.81, , , ,
2018-05-05 13:53:23,50.61,98.68,50.27, , , ,
2018-05-05 14:08:23,50.61,97.54,49.96, , , ,
2018-05-05 14:23:23,51.15,98.02,50.63, , , ,
2018-05-05 14:38:23,51.22,97.57,50.58, , , ,
2018-05-05 14:53:23,50.53,98.66,50.18, , , ,
2018-05-05 15:08:23,50.14,98.66,49.80, , , ,
2018-05-05 15:23:23,49.83,99.35,49.68, , , ,
2018-05-05 15:38:23,49.60,98.98,49.34, , , ,
2018-05-05 15:53:23,49.52,99.69,49.46, , , ,
2018-05-05 16:08:23,49.45,99.69,49.38, , , ,
2018-05-05 16:23:23,49.37,99.66,49.30, , , ,
2018-05-05 16:38:23,49.22,99.98,49.23, , , ,
2018-05-05 16:53:23,49.06,99.98,49.07, , , ,
2018-05-05 17:08:23,49.14,99.64,49.06, , , ,
2018-05-05 17:23:23,48.91,99.98,48.92, , , ,
2018-05-05 17:38:23,48.83,99.58,48.74, , , ,
2018-05-05 17:53:23,48.83,99.58,48.74, , , ,
2018-05-05 18:08:23,48.75,99.98,48.76, , , ,
2018-05-05 18:23:23,48.67,99.98,48.69, , , ,
2018-05-05 18:38:23,48.44,99.98,48.46, , , ,
2018-05-05 18:53:23,48.37,99.98,48.38, , , ,
2018-05-05 19:08:23,48.44,99.98,48.46, , , ,
2018-05-05 19:23:23,48.37,99.95,48.37, , , ,
2018-05-05 19:38:23,48.44,99.98,48.46, , , ,
2018-05-05 19:53:23,48.29,99.56,48.19, , , ,
2018-05-05 20:08:23,48.29,99.95,48.29, , , ,
2018-05-05 20:23:23,48.29,99.90,48.28, , , ,
2018-05-05 20:38:23,48.13,98.74,47.81, , , ,
2018-05-05 20:53:23,48.13,99.08,47.91, , , ,
2018-05-05 21:08:23,47.98,99.06,47.74, , , ,
2018-05-05 21:23:23,48.06,99.48,47.93, , , ,
2018-05-05 21:38:23,48.06,99.48,47.93, , , ,
2018-05-05 21:53:23,48.13,99.53,48.03, , , ,
2018-05-05 22:08:23,48.06,99.48,47.93, , , ,
2018-05-05 22:23:23,47.98,99.45,47.85, , , ,
2018-05-05 22:38:23,47.90,99.51,47.79, , , ,
2018-05-05 22:53:23,47.98,99.11,47.76, , , ,
2018-05-05 23:08:23,47.90,99.45,47.77, , , ,
2018-05-05 23:23:23,47.83,99.08,47.60, , , ,
2018-05-05 23:38:23,47.90,99.11,47.68, , , ,
2018-05-05 23:53:23,47.83,99.03,47.58, , , ,
2018-05-06 00:08:23,47.67,99.40,47.53, , , ,
2018-05-06 00:23:23,47.67,99.03,47.43, , , ,
2018-05-06 00:38:23,47.52,99.06,47.28, , , ,
2018-05-06 00:53:23,47.75,99.08,47.52, , , ,
2018-05-06 01:08:23,47.67,99.03,47.43, , , ,
2018-05-06 01:23:23,47.59,98.60,47.24, , , ,
2018-05-06 01:38:23,47.52,98.66,47.17, , , ,
2018-05-06 01:53:23,47.44,98.63,47.09, , , ,
2018-05-06 02:08:23,47.36,97.43,46.69, , , ,
2018-05-06 02:23:23,47.36,94.99,46.02, , , ,
2018-05-06 02:38:23,47.05,97.73,46.46, , , ,
2018-05-06 02:53:23,46.74,98.52,46.37, , , ,
2018-05-06 03:08:23,46.74,98.47,46.35, , , ,
2018-05-06 03:23:23,46.74,98.47,46.35, , , ,
2018-05-06 03:38:23,46.82,98.15,46.34, , , ,
2018-05-06 03:53:23,46.82,97.70,46.22, , , ,
2018-05-06 04:08:23,46.82,98.15,46.34, , , ,
2018-05-06 04:23:23,46.98,98.90,46.70, , , ,
2018-05-06 04:38:23,46.90,97.75,46.31, , , ,
2018-05-06 04:53:23,46.90,98.15,46.42, , , ,
2018-05-06 05:08:23,46.82,96.87,46.00, , , ,
2018-05-06 05:23:23,46.90,98.10,46.41, , , ,
